The end!,Not Relevant,0
Awesome!,Not Relevant,0
Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU,Relevant,1
@sunkxssedharry will you wear shorts for race ablaze ?,Not Relevant,0
@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C,Relevant,1
We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw,Not Relevant,0
#AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyEi,Relevant,1
#PreviouslyOnDoyinTv: Toke Makinwa s marriage crisis sets Nigerian Twitter ablaze... http://t.co/CMghxBa2XI,Not Relevant,0
Crying out for more! Set me ablaze,Not Relevant,0
On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE http://t.co/qqsmshaJ3N,Not Relevant,0
@PhDSquares #mufc they've built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season.,Not Relevant,0
INEC Office in Abia Set Ablaze - http://t.co/3ImaomknnA,Relevant,1
text,choose_one,class_label
Just happened a terrible car crash,Relevant,1
Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all,Relevant,1
"Heard about #earthquake is different cities, stay safe everyone.",Relevant,1
"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all",Relevant,1
Forest fire near La Ronge Sask. Canada,Relevant,1
All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,Relevant,1
"13,000 people receive #wildfires evacuation orders in California ",Relevant,1
Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,Relevant,1
#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,Relevant,1
Apocalypse lighting. #Spokane #wildfires,Relevant,1
"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",Relevant,1
